student_id,questions_attempted,response_time,correct,Addition_as_Multiplication,Carry_Omission,Disorganized_Strategy,Vanishing_Digits,Zero_Misconception,dyscalculic
1,30,5.120454043681907,16,2,4,2,2,8,0
2,30,5.430020611852678,17,1,1,4,2,8,1
3,30,5.884936759825006,16,2,0,1,2,12,0
4,30,5.579254094792446,15,0,0,0,0,11,0
5,30,5.958039204554948,13,0,4,2,2,1,0
6,30,5.976140036610693,14,3,2,1,3,3,0
7,30,5.309824775180102,15,3,3,0,2,5,0
8,30,5.961127093456722,15,3,5,2,1,5,1
9,30,6.137998414950229,15,0,2,3,2,6,0
10,30,5.445876173715189,17,0,1,1,5,7,0
11,30,5.95541838716995,14,0,0,3,4,7,0
12,30,5.954924379758356,18,0,1,1,4,10,0
13,30,6.219731997688261,17,0,1,0,0,14,0
14,30,5.982467644021239,14,1,3,1,0,5,0
15,30,5.266633359173706,16,1,3,4,1,8,1
16,30,5.560529248846672,11,1,2,0,3,3,0
17,30,5.465376762953045,14,1,0,1,0,8,0
18,30,4.801127742256239,15,1,5,0,3,4,1
19,30,5.983108724266602,13,1,0,3,3,2,0
20,30,5.566743504116573,13,1,2,4,2,2,1
21,30,5.257982895427103,18,0,1,3,1,6,0
22,30,4.996808585182487,13,4,1,2,3,1,0
23,30,5.577898894922537,15,0,2,0,1,5,0
24,30,6.0539203843148135,15,0,1,3,2,3,0
25,30,4.253386609199523,15,0,1,2,3,2,0
26,30,5.357521660404877,15,2,2,2,1,8,0
27,30,5.35926445088724,12,0,3,0,4,2,0
28,30,4.997917692226974,14,1,4,2,2,4,0
29,30,4.7638395067589006,15,1,6,3,0,3,1
30,30,5.421471693676451,17,3,0,2,1,8,0
31,30,5.320275882165149,14,1,4,0,4,2,0
32,30,5.274778697667633,13,1,2,4,3,3,1
33,30,5.373757063053353,16,0,0,0,0,12,0
34,30,5.61149128517916,18,0,0,2,4,9,0
35,30,5.199094881304938,15,2,4,2,5,1,0
36,30,5.540024748068093,13,0,2,3,3,4,0
37,30,6.0084379796404175,12,2,0,0,6,2,0
38,30,6.0378546053277615,14,0,1,5,8,1,1
39,30,5.739967541946549,18,1,0,1,2,6,0
40,30,5.213964314081081,15,1,0,0,4,8,0
41,30,5.045926704293993,15,2,0,0,0,9,0
42,30,4.860229975026827,16,2,3,2,3,5,0
43,30,5.121572787617962,16,1,2,3,2,3,0
44,30,5.937730828864286,14,0,0,1,4,4,0
45,30,7.088903379020948,13,2,1,3,1,4,0
46,30,6.482167543953009,16,1,2,1,3,5,0
47,30,5.714861849696077,14,1,0,0,0,8,0
48,30,5.87456582752983,14,0,1,6,2,8,1
49,30,4.62484361630825,16,0,5,3,5,4,1
50,30,5.0743336531087815,15,0,3,2,1,11,0
51,30,5.944995655729225,15,2,4,2,0,2,0
52,30,5.161856946479324,16,0,2,1,2,1,0
53,30,6.4075809856910775,14,1,0,4,1,7,1
54,30,4.798751380711747,15,0,2,3,1,3,0
55,30,4.897847579541503,14,4,2,3,1,3,0
56,30,4.744617357469398,15,1,5,4,3,1,1
57,30,5.1189954583117405,16,1,1,0,1,4,0
58,30,5.742844910307819,16,0,1,0,0,8,0
59,30,5.130110972561259,18,0,0,2,1,9,0
60,30,6.489221377385965,14,1,0,1,5,4,0
61,30,5.807758864324845,18,0,0,2,0,12,0
62,30,5.080783701536033,15,0,2,0,4,5,0
63,30,5.873917429771243,14,2,2,5,2,4,1
64,30,4.9674891242411405,17,2,3,2,1,5,0
65,30,5.900563643522403,15,0,2,5,5,4,1
66,30,5.754694074499554,15,1,0,2,5,5,0
67,30,5.712937396263083,15,0,2,0,3,8,0
68,30,5.557347547205785,15,3,2,1,3,2,0
69,30,4.998869412925092,14,0,2,2,1,3,0
70,30,6.428343498032618,14,3,4,2,2,3,0
71,30,6.231398216561982,15,0,3,3,3,3,0
72,30,5.731609100975713,17,1,1,0,0,13,0
73,30,5.739900331553772,16,1,0,1,4,3,0
74,30,5.786539322380118,15,2,0,1,2,3,0
75,30,5.389825414883254,16,1,1,1,4,6,0
76,30,5.158004916664461,18,2,4,4,2,5,1
77,30,5.52394947240777,15,0,4,4,7,3,1
78,30,5.854728137540689,15,0,1,6,2,1,1
79,30,5.957339755109539,14,1,6,2,2,0,1
80,30,5.45927161001048,14,2,1,2,1,6,0
81,30,5.6183743380209314,17,0,0,0,4,11,0
82,30,5.920018676506017,14,1,3,0,6,2,0
83,30,4.654406228276421,15,2,1,2,2,4,0
84,30,5.143210075956326,14,2,6,2,1,4,1
85,30,5.792766431617462,15,1,3,0,4,8,0
86,30,5.617372956394402,14,4,2,3,1,2,0
87,30,5.215310198889855,13,4,3,2,2,2,0
88,30,5.533308289404077,17,4,1,3,3,6,1
89,30,5.397126573655483,13,2,1,3,2,1,0
90,30,5.676347568848803,15,1,1,1,0,10,0
91,30,6.124647401813864,17,2,0,1,2,8,0
92,30,5.338073077922965,16,1,3,4,1,3,1
93,30,5.539884101916207,16,0,2,4,0,8,1
94,30,6.20050688513355,14,0,3,1,3,5,0
95,30,5.203732703271082,14,0,0,3,3,12,0
96,30,5.981280332194331,16,3,4,2,1,10,0
97,30,4.675130870458338,16,2,4,1,2,7,0
98,30,6.202315288979974,15,0,1,4,3,4,1
99,30,4.832057132332752,15,0,3,5,2,2,1
100,30,6.221282684825471,17,1,1,4,2,4,1
101,30,5.872153418855858,15,1,0,2,3,3,0
102,30,5.138756658864989,17,0,1,0,2,11,0
103,30,6.114752004391758,12,5,1,2,1,3,0
104,30,5.8257298797369135,15,1,2,1,0,7,0
105,30,4.932849155180929,15,0,2,2,5,5,0
106,30,5.052413595666602,15,0,3,3,3,3,0
107,30,6.580251104628143,16,1,0,1,1,11,0
108,30,4.919730611383433,15,3,2,2,1,2,0
109,30,5.417410325745228,17,1,6,4,5,2,1
110,30,5.130567941042172,18,1,3,2,0,14,0
111,30,5.584689841669232,17,1,6,3,1,5,1
112,30,4.4986189995585,15,4,1,0,5,3,1
113,30,5.771166120217202,15,0,1,1,1,13,0
114,30,5.605474713282686,14,1,2,2,2,5,0
115,30,5.768805689894058,16,0,3,2,2,4,0
116,30,6.65053888617798,14,2,0,2,1,5,0
117,30,5.515241438780107,14,0,2,8,2,2,1
118,30,6.0259271097371165,16,1,4,4,2,3,1
119,30,6.289324016721947,16,2,3,1,0,8,0
120,30,5.704362575625842,14,0,1,1,1,3,0
121,30,4.713770279861699,16,0,1,0,0,10,0
122,30,4.9142933731685385,16,0,0,6,2,2,1
123,30,6.289441413445468,15,4,2,2,3,2,0
124,30,5.518809115207189,17,1,1,0,2,14,0
125,30,5.716332063762427,16,2,0,1,2,8,0
126,30,5.314893664127397,15,3,1,1,3,3,0
127,30,6.153758857165015,15,1,2,2,0,6,0
128,30,5.700549499709374,16,0,2,0,2,10,0
129,30,5.053221998077287,17,2,7,4,2,2,1
130,30,4.698979362595055,14,2,0,1,3,3,0
131,30,5.515553900165021,17,3,2,3,0,7,0
132,30,5.470015727090271,15,5,3,2,0,8,0
133,30,5.443833138734981,14,1,1,3,6,2,0
134,30,5.044464397427129,15,0,2,2,5,4,0
135,30,5.98195396762899,14,2,2,2,2,1,0
136,30,5.312748192219623,15,3,3,1,2,2,0
137,30,5.583556616563451,16,0,2,0,1,9,0
138,30,4.832343576767859,17,0,2,1,1,11,0
139,30,4.647909773030506,14,1,3,5,7,1,1
140,30,5.898534573050126,14,2,1,0,1,3,0
141,30,4.913530768833933,16,1,1,0,1,9,0
142,30,5.1125852799351295,17,3,1,2,4,2,0
143,30,5.947802238919045,15,0,2,4,2,2,1
144,30,5.404664100797789,17,2,2,1,3,6,0
145,30,5.154157196366528,16,1,2,1,1,8,0
146,30,6.1730691778865046,16,1,1,1,1,11,0
147,30,5.99539416087456,14,3,1,3,1,1,0
148,30,5.215740071743335,15,0,2,1,1,7,0
149,30,6.342833013283841,16,4,3,3,0,1,0
150,30,5.450949886671203,17,2,3,2,1,5,0
151,30,5.46686598595099,18,2,2,1,2,11,0
