student_id,question,difficulty,skill,response_time,correct,attempt_count
1,2 + 5,0,0,3.5933561884226393,1,1
1,88 + 22,1,0,4.525475033830956,1,1
1,734 + 570,2,0,2.5130140491448913,0,2
1,53 + 81,1,0,6.123621086322908,1,1
1,827 + 655,2,0,4.548823852724794,0,3
1,43 + 50,1,0,8.734183015880358,0,3
1,4 + 8,0,0,2.7141470098072773,1,1
1,94 + 98,1,0,6.740697130101246,0,2
1,2 + 1,0,0,1.1866448077716445,0,4
1,5 + 6,0,0,6.732220613627564,1,1
1,35 + 58,1,0,9.77027726526638,0,3
1,5 + 7,0,0,1.017253828561491,1,1
1,30 + 67,1,0,4.095930649276061,0,3
1,9 + 4,0,0,4.648535005302264,1,1
1,86 + 85,1,0,7.475497212282919,1,1
1,107 + 552,2,0,8.52625725398266,0,3
1,70 + 43,1,0,6.755444136508041,1,1
1,214 + 252,2,0,6.319917051637087,0,2
1,47 + 15,1,0,6.749897912334585,1,1
1,844 + 207,2,0,2.8547695139373497,0,3
1,90 + 17,1,0,1.6916220476058745,1,1
1,349 + 899,2,0,5.342367078577177,1,1
1,364 - 283,2,1,1.4428630712380683,0,3
1,57 - 33,1,1,7.467057147356049,1,1
1,872 - 651,2,1,1.7249429386951154,1,1
1,693 × 799,2,2,2.0707131188382295,0,4
1,77 × 73,1,2,2.6791643470271156,1,1
1,584 × 958,2,2,9.975051052068379,0,4
1,65 × 66,1,2,6.038494194371809,0,4
1,6 × 2,0,2,9.555383697956268,1,1
2,2 + 6,0,0,7.848180970191935,0,2
2,5 + 1,0,0,5.224519039820665,1,1
2,92 + 65,1,0,6.404976234152334,1,1
2,721 + 105,2,0,4.377288364481455,0,2
2,13 + 12,1,0,5.274237164575197,0,2
2,9 + 9,0,0,1.3360915234823578,1,1
2,77 + 64,1,0,2.2076242108278112,1,1
2,337 + 784,2,0,2.209570454391431,1,1
2,832 - 367,2,1,1.844157735008882,0,3
2,46 - 32,1,1,9.620639785949406,1,1
2,568 - 316,2,1,6.703396923899866,0,4
2,79 - 61,1,1,6.183933405029733,0,2
2,9 - 6,0,1,6.532913518304471,1,1
2,40 - 13,1,1,3.463725901542478,0,2
2,4 - 1,0,1,9.307980860483998,1,1
2,27 - 18,1,1,4.78009971653808,1,1
2,547 - 368,2,1,8.299148871275298,0,4
2,40 - 24,1,1,1.5525724730466484,1,1
2,630 - 449,2,1,5.2097459874420355,1,1
2,807 × 995,2,2,6.471345884548216,1,1
2,622 ÷ 622,2,3,9.207837658336288,0,4
2,88 ÷ 22,1,3,1.0399232573185486,0,2
2,4 ÷ 2,0,3,1.9413156989076006,1,1
2,58 ÷ 29,1,3,8.716081761502792,1,1
2,620 ÷ 124,2,3,6.040906799159165,0,2
2,91 ÷ 13,1,3,3.40588882279707,0,2
2,7 ÷ 1,0,3,7.453724547965097,1,1
2,90 ÷ 10,1,3,9.103157388255784,1,1
2,670 ÷ 134,2,3,7.951780417295053,1,1
2,250 + 396,2,0,3.1878529790506236,0,2
3,7 + 9,0,0,5.19757353828382,1,1
3,58 + 44,1,0,1.0363105691207706,1,1
3,408 + 491,2,0,9.321239309668911,0,4
3,68 + 42,1,0,8.34252018638932,0,4
3,10 + 1,0,0,6.711851794594276,1,1
3,68 + 97,1,0,8.168337328780371,0,2
3,7 + 7,0,0,2.4963957563105423,1,1
3,76 + 79,1,0,1.2118878689053545,0,3
3,1 + 5,0,0,3.170293011067467,1,1
3,47 + 50,1,0,6.441864933175633,1,1
3,637 + 686,2,0,2.992229444666287,0,4
3,30 + 45,1,0,8.332447306734496,1,1
3,622 + 509,2,0,7.321193613597844,0,3
3,69 + 26,1,0,3.2502490034997984,1,1
3,359 + 372,2,0,8.517200820055638,1,1
3,837 - 590,2,1,9.466954273053902,1,1
3,650 × 985,2,2,7.86500868312803,0,3
3,93 × 73,1,2,5.82824031884886,0,4
3,7 × 6,0,2,3.2715371131777182,1,1
3,83 × 34,1,2,8.13011784767757,0,2
3,7 × 5,0,2,8.398268031674512,1,1
3,41 × 61,1,2,4.958613611292963,0,2
3,10 × 10,0,2,4.460222064235886,0,4
3,3 × 8,0,2,2.4066298652096196,1,1
3,76 × 22,1,2,9.812855838599129,1,1
3,581 × 145,2,2,6.636809208045113,0,2
3,56 × 17,1,2,7.973370538082367,1,1
3,141 × 803,2,2,4.836500253800141,1,1
3,422 ÷ 422,2,3,6.593777081920467,0,2
3,54 ÷ 54,1,3,3.3976035811533665,0,3
4,7 + 8,0,0,7.81827126445856,1,1
4,26 + 56,1,0,1.0099550473608385,1,1
4,987 + 143,2,0,5.6749968246250875,1,1
4,425 - 271,2,1,8.072900511457632,1,1
4,228 × 362,2,2,4.293455876567975,0,2
4,42 × 59,1,2,7.944933726388687,1,1
4,890 × 976,2,2,5.758214737595682,0,4
4,51 × 38,1,2,8.600987479944806,1,1
4,275 × 255,2,2,3.8836732551921482,0,3
4,50 × 69,1,2,2.572909527515662,1,1
4,421 × 274,2,2,8.243490004038906,0,2
4,39 × 61,1,2,8.004686613156226,0,2
4,3 × 9,0,2,3.8454157804202453,0,2
4,3 × 5,0,2,9.701324726187817,1,1
4,39 × 49,1,2,7.820184858319999,0,4
4,5 × 5,0,2,7.286361904271771,1,1
4,10 × 23,1,2,3.216742869811958,0,2
4,9 × 4,0,2,2.9684884573410857,1,1
4,38 × 64,1,2,7.004041686304021,0,4
4,5 × 3,0,2,3.947608256563065,1,1
4,35 × 42,1,2,4.401830305610956,0,4
4,9 × 10,0,2,8.530266585833068,0,4
4,2 × 8,0,2,4.626860686004095,1,1
4,18 × 49,1,2,7.159573639858185,0,4
4,8 × 8,0,2,3.410179824553228,0,4
4,1 × 7,0,2,1.5719804271708708,1,1
4,47 × 14,1,2,4.913773937237094,0,2
4,4 × 1,0,2,5.231832550093158,0,2
4,10 × 2,0,2,1.449500020757466,1,1
4,55 × 72,1,2,8.413181459133085,1,1
5,1 + 4,0,0,8.740810451041753,1,1
5,36 + 37,1,0,9.908860265679529,0,2
5,5 + 8,0,0,2.5535869417717656,0,4
5,10 + 5,0,0,6.1109168827368325,0,4
5,1 + 5,0,0,5.242741257673612,1,1
5,70 + 49,1,0,6.234170151526391,0,3
5,1 + 6,0,0,9.243451253619686,0,2
5,7 + 4,0,0,3.299834589178354,1,1
5,11 + 98,1,0,5.167562889100249,1,1
5,644 + 747,2,0,3.623064329680094,0,3
5,12 + 37,1,0,8.082121863503833,1,1
5,850 + 491,2,0,5.824102613802749,1,1
5,546 - 539,2,1,5.193303313660095,0,2
5,29 - 27,1,1,8.63418045640337,0,4
5,7 - 2,0,1,7.87791831960582,0,4
5,5 - 2,0,1,9.39797175565499,0,3
5,4 - 3,0,1,4.62030168551385,0,4
5,4 - 2,0,1,4.41318488147274,1,1
5,14 - 10,1,1,7.304739069997486,0,3
5,8 - 3,0,1,2.1535476820517188,1,1
5,64 - 47,1,1,6.492422703499362,1,1
5,249 - 112,2,1,1.7239286018268511,0,4
5,67 - 32,1,1,9.635935558361496,0,3
5,4 - 1,0,1,4.7844061015800845,1,1
5,74 - 31,1,1,7.147130296656768,0,2
5,9 - 2,0,1,1.3255792911821862,1,1
5,85 - 24,1,1,6.490483739773274,0,2
5,6 - 5,0,1,4.548386209410557,1,1
5,55 - 31,1,1,5.1086103767770155,0,4
5,2 - 2,0,1,7.857922603905937,1,1
6,4 + 6,0,0,8.792225093572362,1,1
6,71 + 59,1,0,3.542637686525868,0,2
6,7 + 9,0,0,9.183607386085228,1,1
6,87 + 34,1,0,6.155458477606401,1,1
6,566 + 296,2,0,7.2164144909582815,0,2
6,48 + 87,1,0,9.742592944296485,0,2
6,2 + 8,0,0,3.2288455399926717,0,4
6,10 + 1,0,0,7.378881636872256,1,1
6,58 + 46,1,0,5.83171476456681,0,2
6,8 + 10,0,0,1.8913486379145685,0,4
6,4 + 8,0,0,9.859979034152957,0,2
6,5 + 6,0,0,9.056729875643354,1,1
6,100 + 98,1,0,1.344373930601774,1,1
6,350 + 975,2,0,1.6440667889039757,0,4
6,17 + 10,1,0,4.156537862347543,0,4
6,10 + 6,0,0,2.880444852798444,0,3
6,1 + 6,0,0,1.2992284408152186,1,1
6,55 + 68,1,0,8.22002386110385,1,1
6,163 + 364,2,0,2.990019499833931,0,3
6,33 + 20,1,0,6.802765036126083,1,1
6,824 + 334,2,0,5.338882447661927,0,3
6,74 + 52,1,0,9.211034030021782,1,1
6,160 + 245,2,0,6.496862469913985,0,2
6,69 + 58,1,0,5.840364223990027,1,1
6,136 + 474,2,0,4.710633409583952,0,2
6,69 + 52,1,0,9.323454557975369,1,1
6,329 + 472,2,0,6.544108871014411,0,3
6,57 + 76,1,0,9.30623161237792,1,1
6,566 + 512,2,0,3.8221543790090147,0,4
6,54 + 17,1,0,7.47257925605435,1,1
7,5 + 8,0,0,5.715838453813805,1,1
7,62 + 88,1,0,9.38936865263656,0,4
